Product_ID,Product_Name,Gender,Category,Subcategory,Color,Price,Season
474079,Crepe Jersey Bra Camisole Dress,Female,Dress,Midi Dress,55 GREEN,$29.90,Spring/Summer
479091,Cotton Gathered Dress | Printed,Female,Dress,Maxi Dress,01 OFF WHITE,$49.90,Spring/Summer
479091,Cotton Gathered Dress | Printed,Female,Dress,Maxi Dress,69 NAVY,$49.90,Spring/Summer
475016,AirSense Blazer | Wool-Like,Male,Outerwear,Blazer,08 DARK GRAY,$79.90,Spring/Summer
475016,AirSense Blazer | Wool-Like,Male,Outerwear,Blazer,05 DARK GRAY,$79.90,Spring/Summer
475016,AirSense Blazer | Wool-Like,Male,Outerwear,Blazer,09 BLACK,$79.90,Spring/Summer
475016,AirSense Blazer | Wool-Like,Male,Outerwear,Blazer,69 NAVY,$79.90,Spring/Summer
477733,Utility Short Blouson Jacket,Male,Outerwear,Jacket,09 BLACK,$49.90,Fall/Winter
477733,Utility Short Blouson Jacket,Male,Outerwear,Jacket,57 OLIVE,$49.90,Fall/Winter
477733,Utility Short Blouson Jacket,Male,Outerwear,Jacket,34 BROWN,$49.90,Fall/Winter
470067,Ultra Light Down Jacket,Male,Outerwear,Jacket,57 OLIVE,$79.90,Fall/Winter
470067,Ultra Light Down Jacket,Male,Outerwear,Jacket,09 BLACK,$79.90,Fall/Winter
470067,Ultra Light Down Jacket,Male,Outerwear,Jacket,69 NAVY,$79.90,Fall/Winter
475681,Zip-Up Blouson Jacket,Unisex,Outerwear,Jacket,32 BEIGE,$59.90,Fall/Winter
475681,Zip-Up Blouson Jacket,Unisex,Outerwear,Jacket,08 DARK GRAY,$59.90,Fall/Winter
475681,Zip-Up Blouson Jacket,Unisex,Outerwear,Jacket,76 PURPLE,$59.90,Fall/Winter
478572,Ultra Light Down Jacket,Female,Outerwear,Jacket,12 PINK,$79.90,Fall/Winter
478572,Ultra Light Down Jacket,Female,Outerwear,Jacket,01 OFF WHITE,$79.90,Fall/Winter
478572,Ultra Light Down Jacket,Female,Outerwear,Jacket,04 GRAY,$79.90,Fall/Winter
478572,Ultra Light Down Jacket,Female,Outerwear,Jacket,09 BLACK,$79.90,Fall/Winter
478572,Ultra Light Down Jacket,Female,Outerwear,Jacket,32 BEIGE,$79.90,Fall/Winter
478572,Ultra Light Down Jacket,Female,Outerwear,Jacket,59 DARK GREEN,$79.90,Fall/Winter
